case,x1,x2,y,z,n_states,row_sum_error,status,condition_number,linear_residual,cost_purchase_1,cost_purchase_2,cost_inspection_1,cost_inspection_2,cost_assembly,cost_product_inspection,cost_disassembly,cost_replacement_loss,expected_inspections_1,expected_inspections_2,expected_product_inspections,expected_assemblies,expected_disassemblies,expected_replacements,expected_total_cost,expected_profit,success_probability,factory_defect_rate,exchange_rate,domain,prior,batch,mc_status,posterior_mean_profit,posterior_profit_sd,mc_standard_error,posterior_profit_p05,posterior_profit_p95,posterior_optimal_frequency,negative_profit_probability,mean_regret_to_sample_best,near_optimal_explore,explore_draws,explore_batches,explore_gap_to_second,explore_paired_mc_se,explore_stop_reason,confirm_posterior_mean_profit,confirm_mc_standard_error,confirm_optimal_frequency,near_optimal_confirm,confirm_draws,confirm_batches,confirm_gap_to_second,confirm_paired_mc_se,confirm_stop_reason,strategy_bits,strategy_code,selection_batch,confirmation_status,confirm_best_strategy_bits
1,1,1,0,1,12,0.0,SUCCESS_EXACT,16.39347863746666,1.0426255384012064e-17,4.444444444444445,20.0,2.666666666666667,3.6666666666666665,6.666666666666666,0.0,0.5555555555555554,0.6666666666666665,1.3333333333333335,1.2222222222222223,0.0,1.1111111111111112,0.11111111111111109,0.11111111111111109,38.666666666666664,17.333333333333336,1.0,0.09999999999999998,0.11111111111111109,q2,uniform,explore,SUCCESS_MC_TOL,16.778135291252585,1.2489710491438537,0.01766311796710591,14.537960998738214,18.64104451057749,0.8338,0.0,0.06449225887637071,True,5000,10,1.0187366946079361,0.014517675521969343,gap_exceeds_3_paired_se,16.7684205109163,0.028578454137595882,0.824,True,2000,4,1.0254076123756146,0.023450844953399105,gap_exceeds_3_paired_se,1101,q2:1101,explore,SUCCESS_MC_TOL,1101
1,1,1,0,1,12,0.0,SUCCESS_EXACT,16.39347863746666,1.0426255384012064e-17,4.444444444444445,20.0,2.666666666666667,3.6666666666666665,6.666666666666666,0.0,0.5555555555555554,0.6666666666666665,1.3333333333333335,1.2222222222222223,0.0,1.1111111111111112,0.11111111111111109,0.11111111111111109,38.666666666666664,17.333333333333336,1.0,0.09999999999999998,0.11111111111111109,q2,jeffreys,explore,SUCCESS_MC_TOL,17.034033533103873,1.2226120032733223,0.017290344765492714,14.824678402533376,18.853327751026477,0.772,0.0,0.0983042045969161,True,5000,10,0.8244129545458527,0.01404902431964893,gap_exceeds_3_paired_se,17.023871960236843,0.027941250441475808,0.772,True,2000,4,0.8309861024987057,0.022664992722722495,gap_exceeds_3_paired_se,1101,q2:1101,explore,SUCCESS_MC_TOL,1101
2,1,1,0,1,12,2.220446049250313e-16,SUCCESS_EXACT,17.889434494195793,7.894601352940223e-18,5.0,22.5,3.500000000000001,4.500000000000001,7.500000000000001,0.0,1.25,1.4999999999999998,1.7500000000000004,1.5000000000000004,0.0,1.2500000000000002,0.25,0.25,45.75,10.25,1.0000000000000002,0.2,0.25,q2,uniform,explore,SUCCESS_MC_TOL,9.587802160990968,2.069426884317062,0.029266115661406866,5.997018704605654,12.720068752091583,1.0,0.0,0.0,True,5000,10,2.2091729723987283,0.002713953734063686,gap_exceeds_3_paired_se,9.574258630208439,0.047738895456818115,1.0,True,2000,4,2.212682611639896,0.004393773710737838,gap_exceeds_3_paired_se,1101,q2:1101,explore,SUCCESS_MC_TOL,1101
2,1,1,0,1,12,2.220446049250313e-16,SUCCESS_EXACT,17.889434494195793,7.894601352940223e-18,5.0,22.5,3.500000000000001,4.500000000000001,7.500000000000001,0.0,1.25,1.4999999999999998,1.7500000000000004,1.5000000000000004,0.0,1.2500000000000002,0.25,0.25,45.75,10.25,1.0000000000000002,0.2,0.25,q2,jeffreys,explore,SUCCESS_MC_TOL,9.84497642543174,2.05079826382074,0.029002667183864867,6.258815070032136,12.944273567339973,1.0,0.0,0.0,True,5000,10,2.2243847136384707,0.0026897983565595026,gap_exceeds_3_paired_se,9.81112594026477,0.047385652647467184,1.0,True,2000,4,2.2265998073674345,0.0043606620673080606,gap_exceeds_3_paired_se,1101,q2:1101,explore,SUCCESS_MC_TOL,1101
3,1,1,1,1,12,0.0,SUCCESS_EXACT,16.39347863746666,1.3018901917428544e-17,4.444444444444445,20.0,2.666666666666667,3.6666666666666665,6.666666666666666,3.333333333333333,0.5555555555555554,0.0,1.3333333333333335,1.2222222222222223,1.1111111111111112,1.1111111111111112,0.11111111111111109,0.0,41.333333333333336,14.666666666666664,1.0,0.0,0.0,q2,uniform,explore,SUCCESS_MC_TOL,14.144182195775583,1.1698981692567627,0.016544858575583684,12.062411151349181,15.886321318664786,0.522,0.0,0.31015198256354987,True,5000,10,0.2944221407070078,0.015137334701971351,gap_exceeds_3_paired_se,14.133967442928276,0.02685143579592691,0.5135,True,2000,4,0.2899223881077635,0.02343679432080824,gap_exceeds_3_paired_se,1111,q2:1111,explore,SUCCESS_MC_TOL,1111
3,1,1,1,1,12,0.0,SUCCESS_EXACT,16.39347863746666,1.3018901917428544e-17,4.444444444444445,20.0,2.666666666666667,3.6666666666666665,6.666666666666666,3.333333333333333,0.5555555555555554,0.0,1.3333333333333335,1.2222222222222223,1.1111111111111112,1.1111111111111112,0.11111111111111109,0.0,41.333333333333336,14.666666666666664,1.0,0.0,0.0,q2,jeffreys,explore,SUCCESS_MC_TOL,14.38551538794752,1.1454786052607646,0.016199513789679904,12.316243492941346,16.092762009070526,0.4492,0.0,0.3772965987139409,True,5000,10,0.16333669359280556,0.014759484981128734,gap_exceeds_3_paired_se,14.374531851418572,0.02624945903865839,0.4505,True,2000,4,0.15593902063556442,0.022981386213742405,gap_exceeds_3_paired_se,1111,q2:1111,explore,SUCCESS_MC_TOL,1111
4,1,1,1,1,12,2.220446049250313e-16,SUCCESS_EXACT,17.889434494195793,8.74142929758131e-18,5.0,22.5,1.7500000000000004,1.5000000000000004,7.500000000000001,2.5000000000000004,1.25,0.0,1.7500000000000004,1.5000000000000004,1.2500000000000002,1.2500000000000002,0.25,0.0,42.0,14.0,1.0000000000000002,0.0,0.0,q2,uniform,explore,SUCCESS_MC_TOL,13.482852597287,1.6282479129273684,0.023026902813675705,10.620130597313349,15.95710900659552,1.0,0.0,0.0,True,5000,10,5.381052257611875,0.025330234851261072,gap_exceeds_3_paired_se,13.466543373128067,0.037514334730954654,1.0,True,2000,4,5.348295624694298,0.04100855463355315,gap_exceeds_3_paired_se,1111,q2:1111,explore,SUCCESS_MC_TOL,1111
4,1,1,1,1,12,2.220446049250313e-16,SUCCESS_EXACT,17.889434494195793,8.74142929758131e-18,5.0,22.5,1.7500000000000004,1.5000000000000004,7.500000000000001,2.5000000000000004,1.25,0.0,1.7500000000000004,1.5000000000000004,1.2500000000000002,1.2500000000000002,0.25,0.0,42.0,14.0,1.0000000000000002,0.0,0.0,q2,jeffreys,explore,SUCCESS_MC_TOL,13.684438927717123,1.6133788438665597,0.02281662242241913,10.840949141469213,16.124725112223157,1.0,0.0,0.0,True,5000,10,5.239076006040932,0.025104784661222023,gap_exceeds_3_paired_se,13.652343718936631,0.03723754783570204,1.0,True,2000,4,5.218401797903942,0.04069951262820856,gap_exceeds_3_paired_se,1111,q2:1111,explore,SUCCESS_MC_TOL,1111
5,0,1,1,0,15,0.0,SUCCESS_EXACT,19.48450117561042,4.114131833532794e-17,4.938271604938271,27.777777777777782,0.0,1.54320987654321,7.407407407407408,2.4691358024691366,0.0,0.0,0.0,1.54320987654321,1.2345679012345683,1.2345679012345683,0.0,0.0,44.135802469135804,11.864197530864196,1.0000000000000002,0.0,0.0,q2,uniform,explore,SUCCESS_MC_TOL,10.669135814140622,2.7296543514278535,0.03860314204380005,5.879626340907047,14.678081787807571,0.5284,0.0012,0.15954026675003316,True,5000,10,0.08254570448566056,0.007073885625719679,gap_exceeds_3_paired_se,10.620182518337966,0.06224828356253509,0.5265,True,2000,4,0.08404106023119873,0.011170903706209455,gap_exceeds_3_paired_se,0110,q2:0110,explore,SUCCESS_MC_TOL,0110
5,0,1,0,0,15,0.0,SUCCESS_EXACT,19.48450117561042,3.5486685984710444e-17,4.938271604938271,27.777777777777782,0.0,1.54320987654321,7.407407407407408,0.0,0.0,2.3456790123456788,0.0,1.54320987654321,0.0,1.2345679012345683,0.0,0.23456790123456794,44.01234567901235,11.987654320987652,1.0000000000000002,0.19,0.23456790123456794,q2,jeffreys,explore,MC_NOT_CONVERGED,11.176748277019497,3.108150006488799,0.03108150006488799,5.751861338168238,15.801705685948239,0.5387,0.0023,0.1934752824295455,True,10000,20,0.006690173214533246,0.004936474744872149,B_max_reached_without_gap_tolerance,11.122781864559908,0.043778179258908256,0.5416,True,5000,10,0.0007915331509043,0.006890333255700142,B_max_reached_without_gap_tolerance,0100,q2:0100,explore,MC_NOT_CONVERGED,0100
