domain,coverage,status,bayesian_policy,bayesian_policy_nominal_profit,bayesian_policy_worst_profit,robust_policy,robust_policy_worst_profit,worst_parameter_location,inner_gap,claim_scope,case
q2,90,ROBUST_NUMERICAL,1101,17.555555555555557,12.018679102977423,1101,12.018679102977423,all rectangular upper endpoints,,endpoint result supported by structural monotonicity and numerical checks; no interval BnB certificate,1
q2,95,ROBUST_NUMERICAL,1101,17.555555555555557,11.19209028611511,1101,11.19209028611511,all rectangular upper endpoints,,endpoint result supported by structural monotonicity and numerical checks; no interval BnB certificate,1
q2,90,ROBUST_NUMERICAL,1101,10.75,2.0234059870912304,1101,2.0234059870912304,all rectangular upper endpoints,,endpoint result supported by structural monotonicity and numerical checks; no interval BnB certificate,2
q2,95,ROBUST_NUMERICAL,1101,10.75,0.7322666189877509,1101,0.7322666189877509,all rectangular upper endpoints,,endpoint result supported by structural monotonicity and numerical checks; no interval BnB certificate,2
q2,90,ROBUST_NUMERICAL,1111,14.888888888888886,9.691004872182887,1111,9.691004872182887,all rectangular upper endpoints,,endpoint result supported by structural monotonicity and numerical checks; no interval BnB certificate,3
q2,95,ROBUST_NUMERICAL,1111,14.888888888888886,8.915023533903977,1111,8.915023533903977,all rectangular upper endpoints,,endpoint result supported by structural monotonicity and numerical checks; no interval BnB certificate,3
q2,90,ROBUST_NUMERICAL,1111,14.25,7.304343540746082,1111,7.304343540746082,all rectangular upper endpoints,,endpoint result supported by structural monotonicity and numerical checks; no interval BnB certificate,4
q2,95,ROBUST_NUMERICAL,1111,14.25,6.2767020028678004,1111,6.2767020028678004,all rectangular upper endpoints,,endpoint result supported by structural monotonicity and numerical checks; no interval BnB certificate,4
q2,90,ROBUST_NUMERICAL,0110,11.864197530864203,-2.6396953141653725,1101,1.4536578791792891,all rectangular upper endpoints,,endpoint result supported by structural monotonicity and numerical checks; no interval BnB certificate,5
q2,95,ROBUST_NUMERICAL,0110,11.864197530864203,-5.038039477530013,1101,0.2445073015837096,all rectangular upper endpoints,,endpoint result supported by structural monotonicity and numerical checks; no interval BnB certificate,5
q2,90,ROBUST_NUMERICAL,1000,21.328765126111676,13.457327920462276,1000,13.457327920462276,all rectangular upper endpoints,,endpoint result supported by structural monotonicity and numerical checks; no interval BnB certificate,6
q2,95,ROBUST_NUMERICAL,1000,21.328765126111676,12.19164617066172,1000,12.19164617066172,all rectangular upper endpoints,,endpoint result supported by structural monotonicity and numerical checks; no interval BnB certificate,6
q3,90,ROBUST_NUMERICAL,63487,57.666666666666686,26.964296714157513,65535,29.712934389008183,all rectangular upper endpoints,,endpoint result supported by structural monotonicity and numerical checks; no interval BnB certificate,
q3,95,ROBUST_NUMERICAL,63487,57.666666666666686,23.6188447580285,65535,26.90912703530006,all rectangular upper endpoints,,endpoint result supported by structural monotonicity and numerical checks; no interval BnB certificate,
