domain,coverage,model_status,nominal_profit,worst_profit,inner_lower_bound,inner_upper_bound,inner_gap,worst_parameter_location,robust_status,certificate,case,strategy_bits
q2,90,SUCCESS_EXACT,15.360768175582997,-0.3646879147931301,-0.3646879147931301,-0.3646879147931301,0.0,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_CERTIFIED,recursive monotone nonnegative-cost rational form,1,0000
q2,90,NON_ABSORBING,,,,,,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",NON_ABSORBING,recursive monotone nonnegative-cost rational form,1,0001
q2,90,SUCCESS_EXACT,13.475994513031559,-0.8619213340760865,-0.8619213340760865,-0.8619213340760865,0.0,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_CERTIFIED,recursive monotone nonnegative-cost rational form,1,0010
q2,90,NON_ABSORBING,,,,,,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",NON_ABSORBING,recursive monotone nonnegative-cost rational form,1,0011
q2,90,SUCCESS_EXACT,13.440329218107003,-0.4944354964335034,-0.4944354964335034,-0.4944354964335034,0.0,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_CERTIFIED,recursive monotone nonnegative-cost rational form,1,0100
q2,90,NON_ABSORBING,,,,,,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",NON_ABSORBING,recursive monotone nonnegative-cost rational form,1,0101
q2,90,SUCCESS_EXACT,11.144032921810705,-1.999109978043336,-1.999109978043336,-1.999109978043336,0.0,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_CERTIFIED,recursive monotone nonnegative-cost rational form,1,0110
q2,90,NON_ABSORBING,,,,,,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",NON_ABSORBING,recursive monotone nonnegative-cost rational form,1,0111
q2,90,SUCCESS_EXACT,16.732510288065846,6.041211654664245,6.041211654664245,6.041211654664245,0.0,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_CERTIFIED,recursive monotone nonnegative-cost rational form,1,1000
q2,90,NON_ABSORBING,,,,,,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",NON_ABSORBING,recursive monotone nonnegative-cost rational form,1,1001
q2,90,SUCCESS_EXACT,14.436213991769556,4.536537173054413,4.536537173054413,4.536537173054413,0.0,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_CERTIFIED,recursive monotone nonnegative-cost rational form,1,1010
q2,90,NON_ABSORBING,,,,,,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",NON_ABSORBING,recursive monotone nonnegative-cost rational form,1,1011
q2,90,SUCCESS_EXACT,15.333333333333336,6.852767257666642,6.852767257666642,6.852767257666642,0.0,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_CERTIFIED,recursive monotone nonnegative-cost rational form,1,1100
q2,90,SUCCESS_EXACT,17.555555555555557,12.018679102977423,12.018679102977423,12.018679102977423,0.0,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_CERTIFIED,recursive monotone nonnegative-cost rational form,1,1101
q2,90,SUCCESS_EXACT,12.666666666666664,4.525093026872106,4.525093026872106,4.525093026872106,0.0,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_CERTIFIED,recursive monotone nonnegative-cost rational form,1,1110
q2,90,SUCCESS_EXACT,14.888888888888886,9.691004872182887,9.691004872182887,9.691004872182887,0.0,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_CERTIFIED,recursive monotone nonnegative-cost rational form,1,1111
q2,95,SUCCESS_EXACT,15.360768175582997,-2.9786824470594624,-2.9786824470594624,-2.9786824470594624,0.0,"{""p1"": 0.19418377920641908, ""p2"": 0.19418377920641908, ""pf"": 0.19418377920641908}",ROBUST_CERTIFIED,recursive monotone nonnegative-cost rational form,1,0000
q2,95,NON_ABSORBING,,,,,,"{""p1"": 0.19418377920641908, ""p2"": 0.19418377920641908, ""pf"": 0.19418377920641908}",NON_ABSORBING,recursive monotone nonnegative-cost rational form,1,0001
q2,95,SUCCESS_EXACT,13.475994513031559,-3.2452692899659823,-3.2452692899659823,-3.2452692899659823,0.0,"{""p1"": 0.19418377920641908, ""p2"": 0.19418377920641908, ""pf"": 0.19418377920641908}",ROBUST_CERTIFIED,recursive monotone nonnegative-cost rational form,1,0010
q2,95,NON_ABSORBING,,,,,,"{""p1"": 0.19418377920641908, ""p2"": 0.19418377920641908, ""pf"": 0.19418377920641908}",NON_ABSORBING,recursive monotone nonnegative-cost rational form,1,0011
q2,95,SUCCESS_EXACT,13.440329218107003,-2.7743044863064483,-2.7743044863064483,-2.7743044863064483,0.0,"{""p1"": 0.19418377920641908, ""p2"": 0.19418377920641908, ""pf"": 0.19418377920641908}",ROBUST_CERTIFIED,recursive monotone nonnegative-cost rational form,1,0100
q2,95,NON_ABSORBING,,,,,,"{""p1"": 0.19418377920641908, ""p2"": 0.19418377920641908, ""pf"": 0.19418377920641908}",NON_ABSORBING,recursive monotone nonnegative-cost rational form,1,0101
q2,95,SUCCESS_EXACT,11.144032921810705,-4.154227163809189,-4.154227163809189,-4.154227163809189,0.0,"{""p1"": 0.19418377920641908, ""p2"": 0.19418377920641908, ""pf"": 0.19418377920641908}",ROBUST_CERTIFIED,recursive monotone nonnegative-cost rational form,1,0110
