domain,prior,mc_status,model_status,nominal_profit,posterior_mean_profit,posterior_profit_sd,mc_standard_error,posterior_profit_p05,posterior_profit_p50,posterior_profit_p95,quantile_method,posterior_optimal_probability,optimal_probability_mc_se,negative_profit_probability,posterior_mean_regret,near_optimal_explore,near_optimal_confirm,explore_draws,confirm_draws,explore_gap,explore_paired_halfwidth_95,confirm_gap,confirm_paired_halfwidth_95,strategy_bits,case
q2,uniform,SUCCESS_MC_TOL,SUCCESS_EXACT,17.555555555555557,17.008383765206705,1.2117227557138983,0.00946658402901483,14.85268440246582,17.112759590148926,18.796932411193847,common-draw reservoir n=2048,0.8851318359375,0.002491191451894352,0.0,0.04321632415489415,True,True,16384,32768,1.2735112584922277,0.025757806118258352,1.2761757961050328,0.01231068569014499,1101,1
q2,jeffreys,SUCCESS_MC_TOL,SUCCESS_EXACT,17.555555555555557,17.242503090609304,1.191284959560133,0.009306913746563538,15.123380661010742,17.354710578918457,18.999969959259033,common-draw reservoir n=2048,0.83917236328125,0.002870180508694192,0.0,0.06668714420094991,True,True,16384,32768,1.081776374354181,0.026462189511168684,1.0762946449197663,0.01213844693107249,1101,1
q2,uniform,SUCCESS_MC_TOL,SUCCESS_EXACT,10.75,10.127635145209636,2.012365050544412,0.01572160195737822,6.714480781555176,10.311479091644287,13.211225461959838,common-draw reservoir n=2048,1.0,0.0,6.103515625e-05,0.0,True,True,16384,32768,2.20962100951256,0.0030037313145578576,2.2122016772595785,0.002117704541319533,1101,2
q2,jeffreys,SUCCESS_MC_TOL,SUCCESS_EXACT,10.75,10.360968007911392,1.99634193225887,0.015596421345772422,6.96493809223175,10.534696578979492,13.413921546936034,common-draw reservoir n=2048,1.0,0.0,0.0,0.0,True,True,16384,32768,2.2239423274044476,0.002932657726582617,2.22595694147582,0.002358785120440914,1101,2
q2,uniform,SUCCESS_MC_TOL,SUCCESS_EXACT,14.888888888888886,14.375801547465027,1.1302763530303992,0.008830284008049994,12.339227342605591,14.478385925292969,16.04012804031372,common-draw reservoir n=2048,0.54364013671875,0.003891461709896156,0.0,0.29023120465579705,True,True,16384,32768,0.3067600403249209,0.0248735603992983,0.3008592560328953,0.013299721302511735,1111,3
q2,jeffreys,SUCCESS_MC_TOL,SUCCESS_EXACT,14.888888888888886,14.594995622090133,1.11157713230798,0.008684196346156093,12.60866322517395,14.70173978805542,16.236035442352296,common-draw reservoir n=2048,0.482177734375,0.003903886841278905,0.0,0.3522413540849521,True,True,16384,32768,0.1724327833274728,0.022495618102907768,0.16877769273456522,0.01053141246993795,1111,3
q2,uniform,SUCCESS_MC_TOL,SUCCESS_EXACT,14.25,13.758443404356193,1.6019197269926715,0.012514997867130246,11.018817234039307,13.887807369232178,16.230894947052,common-draw reservoir n=2048,1.0,0.0,0.0,0.0,True,True,16384,32768,5.376870577882771,0.028034825602543792,5.352784345577229,0.019765242385648734,1111,4
q2,jeffreys,SUCCESS_MC_TOL,SUCCESS_EXACT,14.25,13.94409336599199,1.5890742716088313,0.012414642746943995,11.216488409042359,14.071065902709961,16.39316244125366,common-draw reservoir n=2048,1.0,0.0,0.0,0.0,True,True,16384,32768,5.243204944225155,0.027371472114772446,5.22440187955905,0.022015327790781268,1111,4
q2,uniform,SUCCESS_MC_TOL,SUCCESS_EXACT,11.864197530864203,10.66666484338226,2.7397604539921003,0.021404378546813284,5.8632289409637455,10.96579885482788,14.79840407371521,common-draw reservoir n=2048,0.4493408203125,0.003886267252250813,0.00128173828125,0.22646449069649988,True,True,16384,32768,0.08196895275656502,0.010951397987675547,0.07745468685345891,0.006790975799791674,0110,5
q2,jeffreys,SUCCESS_MC_TOL,SUCCESS_EXACT,11.987654320987659,11.188530022624468,3.095035453299733,0.024179964478904165,5.759950613975525,11.560432434082031,15.872315549850462,common-draw reservoir n=2048,0.54248046875,0.0038922448885604813,0.0020751953125,0.23685729662648294,True,True,16384,32768,0.009192925970715748,0.008245061508603208,0.008893867613227968,0.006509286775138904,0100,5
q2,jeffreys,SUCCESS_MC_TOL,SUCCESS_EXACT,11.864197530864203,11.179337096653752,2.680134168752663,0.02093854819338018,6.4872749805450445,11.462591171264648,15.19668025970459,common-draw reservoir n=2048,0.39593505859375,0.003820824405482087,0.00079345703125,0.24605022259719486,True,True,16384,32768,0.009192925970715748,0.008245061508603208,0.008893867613227968,0.006509286775138904,0110,5
q2,uniform,SUCCESS_MC_TOL,SUCCESS_EXACT,21.6786703601108,20.32810536013992,1.979210740816566,0.015462583912629422,16.877936935424806,20.53629207611084,23.231750965118408,common-draw reservoir n=2048,0.55023193359375,0.0038866057501765372,0.0,0.3906827918687502,True,True,16384,32768,0.02546062994627718,0.010500211660023852,0.024301655370543074,0.01140763275417761,0000,6
q2,uniform,SUCCESS_MC_TOL,SUCCESS_EXACT,21.328765126111676,20.353565990086196,1.6221851856157932,0.012673321762623384,17.45925235748291,20.55022430419922,22.724011039733885,common-draw reservoir n=2048,0.44580078125,0.0038833510465162073,0.0,0.36522216192247864,True,True,16384,32768,0.02546062994627718,0.010500211660023852,0.024301655370543074,0.01140763275417761,1000,6
q2,jeffreys,SUCCESS_MC_TOL,SUCCESS_EXACT,21.6786703601108,20.96356756685436,1.8937411067289556,0.014794852396319965,17.57563123703003,21.146366119384766,23.733964347839354,common-draw reservoir n=2048,0.632568359375,0.00376656349408893,0.0,0.2955795377568567,True,True,16384,32768,0.1601986022683981,0.011934803030998963,0.14844625965929836,0.012425525028409028,0000,6
